year_1;Year;localidad;ambiente;sitio;meso_ ambiente;ncasa;tnoches05;Rr;Mm;season;urbano;urbano50;urbano100;urbano150;urbano200;urbano250;NDVI;NDVI50;NDVI100;NDVI150;NDVI200;NDVI250;Prec_semana;TempMedia_semana;MINTEM30;MAXTEM30;MEDTEM30;MINTEM60;MAXTEM60;MEDTEM60;MINTEM90;MAXTEM90;MEDTEM90;MAXPREC30;MEDPREC30;MAXPREC60;MEDPREC60;MAXPREC90;MEDPREC90;PRECIPACUM_30;PRECIPACUM_60;PRECIPACUM_90;Altpastocm;Cobarborea;broza;tierra;dist_arroyo_m;dist_basurales;dist_ANP;prec_diaria;tempMax_diaria;tempMin_diaria;ONI_PROM_TRIM;VivTipo;VivPiso;VivPared;VivTecho;macro_ambiente;pres_Da;pres_anim_cria;pres_animestima;pres_cultivos;pres_basura_chatarra;pres_galpon
2017;1;PtoIguazu;UA;ciudad;households;6;30;0;0;prim.ver;0.01842;-0.019516937;-0.033087178;-0.042392601;-0.041842756;-0.040090633;0.294656724;0.206296748;0.220176273;0.229074879;0.229303129;0.227360282;10;21.51;16.50322581;27.83870968;22.17096774;17.38;30.75;24.065;13.51612903;26.67096774;20.09354839;82;20.72222222;13;4.866666667;94;27.57142857;29.2;193;9;12.5;37.5;12.5;12.5;129.3954315;1252.519496;2883.496464;0;25;18.6;-0.83;1;2;2;0;URBANO;0;0;1;0;0;0
2017;1;PtoIguazu;UA;ciudad;households;7;30;0;0;prim.ver;-0.02579;-0.078006311;-0.100485541;-0.110335139;-0.114949266;-0.115456902;0.539874971;0.24863543;0.278894113;0.296936085;0.30623854;0.30374562;10;21.51;16.50322581;27.83870968;22.17096774;17.38;30.75;24.065;13.51612903;26.67096774;20.09354839;82;20.72222222;13;4.866666667;94;27.57142857;29.2;193;9;12.5;62.5;12.5;37.5;332.0760281;1502.893763;2933.605412;0;25;18.6;-0.83;1;2;2;0;URBANO;0;0;0;0;0;1
2017;1;PtoIguazu;UA;ciudad;households;8;30;0;0;prim.ver;-0.00954;-0.03127211;-0.05401193;-0.066983588;-0.076439952;-0.076828614;0.287473172;0.194647307;0.237222593;0.254938764;0.259456227;0.255068572;10;21.51;16.50322581;27.83870968;22.17096774;17.38;30.75;24.065;13.51612903;26.67096774;20.09354839;82;20.72222222;13;4.866666667;94;27.57142857;29.2;193;9;37.5;62.5;12.5;62.5;1297.475932;1574.235769;1871.754038;0;25;18.6;-0.83;1;2;2;0;URBANO;0;0;0;0;1;0
2017;1;PtoIguazu;UA;ciudad;households;9;30;0;0;prim.ver;-0.01888;-0.072114605;-0.058987947;-0.074464652;-0.089372798;-0.09983733;0.504394412;0.254167693;0.245406922;0.262839366;0.274370587;0.28682754;10;21.51;16.50322581;27.83870968;22.17096774;17.38;30.75;24.065;13.51612903;26.67096774;20.09354839;82;20.72222222;13;4.866666667;94;27.57142857;29.2;193;9;0;12.5;37.5;62.5;508.4447585;4159.725943;2730.766512;0;25;18.6;-0.83;1;2;2;0;URBANO;0;0;1;0;0;1
2017;1;PtoIguazu;UA;ciudad;households;10;30;0;0;prim.ver;-0.00837;-0.07046252;-0.106510405;-0.123761467;-0.124420403;-0.125071131;0.498623699;0.263359921;0.303110511;0.32778142;0.331309309;0.330062907;10;21.51;16.50322581;27.83870968;22.17096774;17.38;30.75;24.065;13.51612903;26.67096774;20.09354839;82;20.72222222;13;4.866666667;94;27.57142857;29.2;193;9;12.5;37.5;12.5;37.5;1111.92266;2213.04137;2045.574156;0;25;18.6;-0.83;1;2;2;0;URBANO;0;0;0;0;0;0
2017;1;PtoIguazu;UA;ciudad;households;11;30;0;0;prim.ver;-0.01964;-0.05758636;-0.065549423;-0.087870494;-0.102428328;-0.121018889;0.469895661;0.238774113;0.255045169;0.282047308;0.300070148;0.319623073;10;21.51;16.50322581;27.83870968;22.17096774;17.38;30.75;24.065;13.51612903;26.67096774;20.09354839;82;20.72222222;13;4.866666667;94;27.57142857;29.2;193;9;37.5;37.5;62.5;12.5;1716.324214;2300.573116;834.7461664;0;25;18.6;-0.83;1;2;2;0;URBANO;0;0;0;0;0;0
2017;1;PtoIguazu;UA;ciudad;households;12;30;0;0;prim.ver;0.0367;-0.076658101;-0.092504194;-0.102010374;-0.129741311;-0.157368267;0.363420069;0.211744571;0.279123272;0.306922392;0.340613675;0.367495554;10;21.51;16.50322581;27.83870968;22.17096774;17.38;30.75;24.065;13.51612903;26.67096774;20.09354839;82;20.72222222;13;4.866666667;94;27.57142857;29.2;193;9;12.5;12.5;12.5;37.5;2014.716755;1557.34029;602.8372996;0;25;18.6;-0.83;1;2;2;0;URBANO;0;0;0;0;0;1
2017;1;PtoIguazu;UA;ciudad;households;13;30;0;0;prim.ver;0.03162;0.001273319;-0.036179305;-0.070694853;-0.080668202;-0.09213917;0.239536747;0.151193258;0.237186702;0.277729119;0.286729242;0.29852787;10;21.51;16.50322581;27.83870968;22.17096774;17.38;30.75;24.065;13.51612903;26.67096774;20.09354839;82;20.72222222;13;4.866666667;94;27.57142857;29.2;193;9;12.5;12.5;12.5;12.5;1991.148361;1604.132782;728.6889685;0;25;18.6;-0.83;1;1;1;0;URBANO;0;0;0;0;0;0
2017;1;PtoIguazu;UA;ciudad;households;14;30;0;0;prim.ver;-0.01069;-0.049497658;-0.07567789;-0.094330499;-0.100709723;-0.103677214;0.408038855;0.258192388;0.269765604;0.300008636;0.309452628;0.305889146;10;21.51;16.50322581;27.83870968;22.17096774;17.38;30.75;24.065;13.51612903;26.67096774;20.09354839;82;20.72222222;13;4.866666667;94;27.57142857;29.2;193;9;12.5;12.5;12.5;12.5;255.6751891;859.5237704;3295.350927;0;25;18.6;-0.83;1;2;2;0;URBANO;0;0;0;0;0;0
2017;1;PtoIguazu;UA;ciudad;households;15;30;0;0;prim.ver;-0.04687;-0.115367605;-0.126141781;-0.139995573;-0.126448725;-0.115597679;0.605563402;0.273126949;0.336062537;0.335166282;0.322667599;0.313629167;10;21.51;16.50322581;27.83870968;22.17096774;17.38;30.75;24.065;13.51612903;26.67096774;20.09354839;82;20.72222222;13;4.866666667;94;27.57142857;29.2;193;9;0;12.5;12.5;62.5;969.0517602;1549.961054;2729.782537;0;25;18.6;-0.83;0;2;2;1;URBANO;0;0;0;0;0;0
2018;1;PtoIguazu;UA;ciudad;households;1;30;1;0;prim.ver;0.00868;-0.0016955;-0.327005071;-0.00914754;-0.011235619;-0.016385923;0.217090592;0.193051476;0.235094532;0.235981574;0.2502238;0.263740986;0;26.7;20.43548387;31.48064516;25.95806452;16.45333333;29.07;22.76166667;16.50322581;27.83870968;22.17096774;68;23.16;79;24.95454545;82;20.72222222;231.6;274.5;373;37.5;37.5;12.5;12.5;634.0761133;2049.855379;3097.6905;0;32.8;21.5;-0.83;1;2;2;0;URBANO;1;0;0;0;1;0
2018;1;PtoIguazu;UA;ciudad;households;2;30;3;0;prim.ver;-0.02202;-0.025317932;-0.455739896;-0.00948567;-0.010426193;-0.015529592;0.502005339;0.243488695;0.207746344;0.209362453;0.231749584;0.253610357;0;26.7;20.43548387;31.48064516;25.95806452;16.45333333;29.07;22.76166667;16.50322581;27.83870968;22.17096774;68;23.16;79;24.95454545;82;20.72222222;231.6;274.5;373;12.5;37.5;12.5;12.5;293.6733561;2438.059521;2339.444201;0;32.8;21.5;-0.83;0;2;1;0;URBANO;1;0;0;0;0;0
2018;1;PtoIguazu;UA;ciudad;households;3;30;2;0;prim.ver;-0.03101;-0.022332302;-0.348014371;-0.012892731;-0.018785809;-0.018578471;0.383559585;0.259860646;0.253819946;0.262465586;0.271014671;0.265065985;0;26.7;20.43548387;31.48064516;25.95806452;16.45333333;29.07;22.76166667;16.50322581;27.83870968;22.17096774;68;23.16;79;24.95454545;82;20.72222222;231.6;274.5;373;37.5;62.5;12.5;12.5;553.4629986;2191.499872;2505.130087;0;32.8;21.5;-0.83;1;2;2;0;URBANO;0;0;0;0;1;0
